Date,PM2.5
2017-09-01,10.46
2017-09-02,6.31
2017-09-03,10.4
2017-09-04,23.0
2017-09-05,15.46
2017-09-06,28.28
2017-09-07,37.15
2017-09-08,25.0
2017-09-09,35.34
2017-09-10,37.09
2017-09-11,24.59
2017-09-12,30.49
2017-09-13,23.2
2017-09-14,23.25
2017-09-15,15.79
2017-09-16,10.75
2017-09-17,9.5
2017-09-19,7.12
2017-09-20,9.93
2017-09-21,17.82
2017-09-22,13.08
2017-09-23,7.0
2017-09-24,11.61
2017-09-25,21.28
2017-09-26,31.01
2017-09-27,33.84
2017-09-28,42.99
2017-09-29,39.5
2017-09-30,37.67
2017-10-01,16.68
2017-10-02,13.57
2017-10-03,12.72
2017-10-04,11.98
2017-10-05,9.83
2017-10-06,15.29
2017-10-07,15.45
2017-10-08,16.38
2017-10-09,12.88
2017-10-10,42.0
2017-10-12,48.55
2017-10-13,50.52
2017-10-14,44.48
2017-10-15,45.06
2017-10-16,56.83
2017-10-17,54.95
2017-10-18,60.17
2017-10-19,58.85
2017-10-20,61.53
2017-10-21,59.04
2017-10-22,54.48
2017-10-24,58.23
2017-10-25,64.18
2017-10-26,61.11
2017-10-27,64.35
2017-10-28,62.16
2017-10-29,73.11
2017-10-30,63.6
2017-10-31,58.15
2017-11-01,73.45
2017-11-02,64.93
2017-11-03,61.75
2017-11-04,65.1
2017-11-05,67.23
2017-11-06,65.76
2017-11-07,66.65
2017-11-08,60.51
2017-11-09,65.33
2017-11-10,71.55
2017-11-11,62.24
2017-11-12,61.83
2017-11-13,60.96
2017-11-14,61.46
2017-11-15,67.56
2017-11-16,59.73
2017-11-17,63.35
2017-11-18,61.71
2017-11-19,61.8
2017-11-20,61.0
2017-11-21,55.76
2017-11-22,60.32
2017-11-23,62.65
2017-11-24,64.38
2017-11-25,63.41
2017-11-26,52.96
2017-11-27,59.95
2017-11-28,63.92
2017-11-29,55.4
2017-11-30,58.98
2017-12-01,58.86
2017-12-02,61.32
2017-12-03,57.06
2017-12-04,59.44
2017-12-05,66.0
2017-12-06,65.98
2017-12-07,58.07
2017-12-08,60.69
2017-12-09,63.73
2017-12-10,61.83
2017-12-11,61.79
2017-12-12,48.86
2017-12-13,60.56
2017-12-14,44.66
2017-12-15,57.33
2017-12-16,64.61
2017-12-17,56.65
2017-12-18,54.74
2017-12-19,61.36
2017-12-20,60.03
2017-12-21,54.24
2017-12-22,58.12
2017-12-23,60.2
2017-12-24,60.28
2017-12-25,61.28
2017-12-26,53.5
2017-12-27,54.32
2017-12-28,62.67
2017-12-29,60.05
2017-12-30,61.49
2017-12-31,61.98
2018-01-01,61.25
2018-01-02,47.21
2018-01-03,65.45
2018-01-04,116.03
2018-01-05,96.21
2018-01-06,75.89
2018-01-07,63.83
2018-01-08,62.34
2018-01-09,51.67
2018-01-10,61.42
2018-01-11,82.34
2018-01-12,115.47
2018-01-13,108.41
2018-01-14,73.75
2018-01-15,81.72
2018-01-16,83.39
2018-01-17,64.14
2018-01-18,54.56
2018-01-19,67.09
2018-01-20,76.51
2018-01-21,69.51
2018-01-22,60.61
2018-01-23,83.79
2018-01-24,71.49
2018-01-25,76.94
2018-01-26,64.21
2018-01-27,56.14
2018-01-28,68.79
2018-01-29,85.73
2018-01-30,62.96
2018-01-31,54.98
2018-02-01,44.56
2018-02-02,52.36
2018-02-03,58.81
2018-02-04,68.29
2018-02-05,56.73
2018-02-06,64.14
2018-02-07,93.54
2018-02-08,83.13
2018-02-09,70.3
2018-02-10,64.97
2018-02-11,41.77
2018-02-12,39.67
2018-02-13,42.59
2018-02-14,62.32
2018-02-15,66.1
2018-02-16,85.12
2018-02-17,82.76
2018-02-18,75.46
2018-02-19,63.58
2018-02-20,57.61
2018-02-21,53.34
2018-02-22,65.52
2018-02-23,72.0
2018-02-24,68.68
2018-02-25,80.73
2018-02-26,64.09
2018-02-27,55.13
2018-02-28,69.06
2018-03-01,63.3
2018-03-02,57.86
2018-03-03,28.95
2018-03-04,32.73
2018-03-05,31.06
2018-03-06,42.16
2018-03-07,35.62
2018-03-08,45.6
2018-03-09,77.14
2018-03-10,30.97
2018-03-11,30.33
2018-03-12,43.8
2018-03-13,63.7
2018-03-14,50.64
2018-03-15,21.27
2018-03-16,27.44
2018-03-17,54.73
2018-03-18,67.57
2018-03-19,63.1
2018-03-20,52.04
2018-03-21,61.33
2018-03-22,60.92
2018-03-23,60.33
2018-03-24,54.59
2018-03-25,60.55
2018-03-26,62.45
2018-03-27,57.61
2018-03-28,51.42
2018-03-29,49.28
2018-03-30,47.02
2018-03-31,45.77
2018-04-01,44.15
2018-04-02,51.9
2018-04-03,50.37
2018-04-04,43.52
2018-04-05,47.15
2018-04-06,44.33
2018-04-07,48.68
2018-04-08,68.34
2018-04-09,77.56
2018-04-10,67.48
2018-04-11,77.94
2018-04-12,158.04
2018-04-13,59.32
2018-04-14,60.92
2018-04-15,57.68
2018-04-16,56.31
2018-04-17,68.97
2018-04-18,70.99
2018-04-19,57.04
2018-04-20,49.73
2018-04-21,45.5
2018-04-22,53.51
2018-04-23,58.3
2018-04-24,57.26
2018-04-25,55.63
2018-04-26,61.48
2018-04-27,63.36
2018-04-28,37.64
2018-04-29,27.39
2018-04-30,24.73
2018-05-01,24.54
2018-05-02,29.34
2018-05-03,37.31
2018-05-04,43.24
2018-05-05,40.48
2018-05-06,38.11
2018-05-07,29.4
2018-05-08,27.81
2018-05-09,32.95
2018-05-10,31.54
2018-05-11,30.22
2018-05-12,34.8
2018-05-13,36.41
2018-05-14,40.68
2018-05-15,35.14
2018-05-16,37.13
2018-05-17,37.23
2018-05-18,48.21
2018-05-19,45.73
2018-05-20,41.91
2018-05-21,35.78
2018-05-22,38.13
2018-05-23,49.56
2018-05-24,57.16
2018-05-25,39.09
2018-05-26,43.73
2018-05-27,26.99
2018-05-28,26.35
2018-05-29,19.02
2018-05-30,17.31
2018-05-31,11.35
2018-06-01,10.04
2018-06-02,13.75
2018-06-03,13.78
2018-06-04,14.36
2018-06-05,16.11
2018-06-06,17.77
2018-06-07,12.3
2018-06-08,11.78
2018-06-09,17.05
2018-06-10,7.84
2018-06-11,7.85
2018-06-12,5.56
2018-06-13,6.92
2018-06-14,19.65
2018-06-15,13.54
2018-06-16,9.71
2018-06-17,13.07
2018-06-18,12.88
2018-06-19,7.61
2018-06-20,7.38
2018-06-21,8.66
2018-06-22,11.4
2018-06-23,11.48
2018-06-24,10.85
2018-06-25,11.81
2018-06-26,11.79
2018-06-27,11.82
2018-06-28,8.84
2018-06-29,10.38
2018-06-30,13.08
2018-07-01,10.98
2018-07-02,9.75
2018-07-03,11.8
2018-07-04,15.53
2018-07-05,10.4
2018-07-06,14.66
2018-07-07,14.77
2018-07-08,18.19
2018-07-09,18.1
2018-07-10,15.0
2018-07-11,19.31
2018-07-12,14.29
2018-07-13,14.49
2018-07-14,13.9
2018-07-15,16.53
2018-07-16,10.24
2018-07-17,10.78
2018-07-18,8.48
2018-07-19,5.72
2018-07-20,6.54
2018-07-21,10.83
2018-07-22,13.37
2018-07-23,15.97
2018-07-24,15.62
2018-07-25,14.04
2018-07-26,16.55
2018-07-27,14.43
2018-07-28,12.62
2018-07-29,15.28
2018-07-30,17.5
2018-07-31,17.42
2018-08-01,16.85
2018-08-02,16.78
2018-08-03,11.79
2018-08-04,13.35
2018-08-05,20.34
2018-08-06,23.03
2018-08-07,26.22
2018-08-08,24.87
2018-08-09,20.47
2018-08-10,14.91
2018-08-11,17.76
2018-08-12,15.1
2018-08-13,17.08
2018-08-14,20.36
2018-08-15,16.4
2018-08-16,20.12
2018-08-17,21.77
2018-08-18,26.6
2018-08-19,17.35
2018-08-20,7.42
2018-08-21,10.89
2018-08-22,12.56
2018-08-23,15.41
2018-08-24,23.63
2018-08-25,13.53
2018-08-26,11.58
2018-08-27,13.1
2018-08-28,8.26
2018-08-29,6.57
2018-08-30,12.26
2018-08-31,14.63
2018-09-01,19.92
2018-09-02,24.42
2018-09-03,12.96
2018-09-04,17.26
2018-09-05,19.86
2018-09-06,29.32
2018-09-07,40.82
2018-09-08,32.63
2018-09-09,32.88
2018-09-10,18.58
2018-09-11,12.34
2018-09-12,10.33
2018-09-13,17.29
2018-09-14,10.44
2018-09-15,12.64
2018-09-16,10.27
2018-09-17,15.67
2018-09-18,9.17
2018-09-19,10.28
2018-09-20,9.76
2018-09-21,14.88
2018-09-22,20.5
2018-09-23,29.61
2018-09-24,42.0
2018-09-25,39.68
2018-09-26,45.69
2018-09-27,50.36
2018-09-28,45.9
2018-09-29,41.57
2018-09-30,41.26
2018-10-01,31.08
2018-10-02,24.6
2018-10-03,24.16
2018-10-04,49.75
2018-10-05,55.88
2018-10-06,28.48
2018-10-07,22.6
2018-10-08,32.08
2018-10-09,25.79
2018-10-10,28.04
2018-10-11,27.38
2018-10-12,41.74
2018-10-13,20.48
2018-10-14,33.32
2018-10-15,35.59
2018-10-16,81.29
2018-10-17,72.18
2018-10-18,69.53
2018-10-19,75.46
2018-10-20,78.69
2018-10-21,67.18
2018-10-22,65.39
2018-10-23,53.78
2018-10-24,63.35
2018-10-25,74.57
2018-10-26,66.55
2018-10-27,64.05
2018-10-28,71.27
2018-10-29,70.46
2018-10-31,63.38
2018-11-01,68.21
2018-11-02,69.73
2018-11-03,66.51
2018-11-04,49.62
2018-11-05,32.45
2018-11-06,29.33
2018-11-07,34.96
2018-11-08,38.84
2018-11-09,39.57
2018-11-10,44.44
2018-11-11,61.84
2018-11-12,57.58
2018-11-13,55.36
2018-11-14,58.41
2018-11-15,51.08
2018-11-16,41.31
2018-11-17,37.72
2018-11-18,66.82
2018-11-19,36.53
2018-11-20,43.64
2018-11-21,44.65
2018-11-22,40.48
2018-11-23,96.83
2018-11-24,69.5
2018-11-25,70.91
2018-11-26,84.08
2018-11-27,73.25
2018-11-28,91.39
2018-11-29,66.49
2018-11-30,64.72
2018-12-01,70.03
2018-12-02,69.44
2018-12-03,70.83
2018-12-04,70.47
2018-12-05,58.07
2018-12-06,51.81
2018-12-07,69.33
2018-12-08,74.79
2018-12-09,67.7
2018-12-10,48.99
2018-12-11,55.7
2018-12-12,66.78
2018-12-13,69.33
2018-12-14,66.12
2018-12-15,68.48
2018-12-16,68.87
2018-12-17,71.38
2018-12-18,73.33
2018-12-19,59.35
2018-12-20,88.14
2018-12-21,74.94
2018-12-22,130.23
2018-12-23,82.05
2018-12-24,79.19
2018-12-25,76.47
2018-12-26,76.08
2018-12-27,63.18
2018-12-28,68.65
2018-12-29,112.35
2018-12-30,65.09
2018-12-31,68.45
2019-01-01,57.7
2019-01-02,68.55
2019-01-03,77.77
2019-01-04,79.18
2019-01-05,76.33
2019-01-06,73.15
2019-01-07,72.41
2019-01-08,72.66
2019-01-09,77.65
2019-01-10,74.08
2019-01-11,76.19
2019-01-12,74.76
2019-01-13,70.48
2019-01-14,72.38
2019-01-15,70.98
2019-01-16,65.1
2019-01-17,64.2
2019-01-18,65.86
2019-01-19,61.1
2019-01-20,64.18
2019-01-21,68.52
2019-01-22,72.01
2019-01-23,60.4
2019-01-24,67.07
2019-01-25,68.8
2019-01-26,66.84
2019-01-27,69.43
2019-01-28,68.84
2019-01-29,67.69
2019-01-30,59.46
2019-01-31,53.45
2019-02-01,50.88
2019-02-02,47.46
2019-02-03,43.48
2019-02-04,39.14
2019-02-05,41.79
2019-02-06,48.86
2019-02-07,56.76
2019-02-08,46.18
2019-02-09,50.05
2019-02-10,52.28
2019-02-11,50.55
2019-02-12,54.34
2019-02-13,46.38
2019-02-14,50.52
2019-02-15,52.88
2019-02-16,51.84
2019-02-17,49.86
2019-02-18,55.87
2019-02-19,46.22
2019-02-20,47.64
2019-02-21,54.76
2019-02-22,57.85
2019-02-23,56.99
